log(Price),log(Displacement),log(BHP),log(Torque),Acceleration,log(TopSpeed),MPG,Weight,Length,Width,Height
9.96411217435256,7.37650812632622,4.65396035015752,5.46383180502561,11.3,4.74493212836325,64,1385,4351,1798,1465
9.6260857894919,7.2211050981825,4.65396035015752,4.55387689160054,10.7,4.75359019110636,49,1090,4063,1720,1446
10.341581180136,7.19218205871325,4.58496747867057,4.52178857704904,11.8,4.66343909411207,56,988,3078,1680,1500
12.8891694902366,8.68862230704377,6.23441072571837,6.04025471127741,4.2,5.24702407216049,17,1680,4385,1865,1250
12.1547530350069,8.68862230704377,6.35088571671474,6.12468339089421,4.1,5.20948615284142,19,1739,4720,1910,1294
11.3503477102129,8.46273700562018,6.04025471127741,5.84643877505772,4.7,5.19295685089021,20,1630,4385,1865,1260
11.4509968683481,8.46273700562018,6.04025471127741,5.84643877505772,4.7,5.19295685089021,20,1710,4385,1865,1270
9.74243813101771,7.08757370555797,4.45434729625351,4.77068462446567,11.7,4.71849887129509,55,1040,3954,1740,1416
10.0248198377037,7.24064969425547,4.80402104473326,4.99043258677874,9.3,4.83628190695148,54,1175,4237,1777,1421
10.3586947525391,7.5847730776122,5.17614973257383,5.63478960316925,8.2,4.96284463025991,61,1480,4701,1826,1477
10.4200467081499,7.59287028784482,5.41610040220442,5.55295958492162,6.5,5.00394630594546,40,1610,4699,1826,1436
10.5083498182285,7.99530662029082,5.31811999384422,5.68697535633982,7.1,4.98360662170834,57,1565,4626,1854,1372
10.412261072176,7.59287028784482,5.35185813347607,5.55295958492162,6.6,5.01063529409626,40,1615,4712,1854,1391
10.6989656641935,7.99530662029082,5.50125821054473,6.05678401322862,6.3,5.01727983681492,47,1790,4926,1874,1461
10.5956342327625,7.99530662029082,5.50125821054473,6.05678401322862,6.1,5.04342511691925,47,1720,4915,1874,1455
10.8015124756034,8.00469951054955,5.7037824746562,5.78074351579233,5.6,5.04342511691925,34,1770,4969,1911,1420
11.1387409768951,8.32700074024171,5.85793315448346,6.38012253689976,5.5,5.04342511691925,38,1995,5137,1949,1460
10.2839766745741,7.5847730776122,4.9416424226093,5.46383180502561,9.9,4.80402104473326,49,1535,4385,1831,1608
10.3911468982703,7.5847730776122,4.96284463025991,5.46383180502561,11.4,4.77068462446567,45,1755,4629,1880,1653
10.74688495889,7.99530662029082,5.50125821054473,6.00388706710654,7.8,4.90527477843843,38,2300,5089,1983,1737
11.424913587647,8.33399124719497,6.06378520868761,5.75890177387728,4.6,5.23644196282995,19,1560,4440,1904,1252
11.7066402055936,8.5571828396324,6.26339826259162,5.96614673912369,3.1,5.26785815906333,19,1720,4440,1904,1244
10.9137238972528,8.33399124719497,6.10924758276437,5.75890177387728,4.7,5.04342511691925,26,1795,4719,1850,1416
10.3778566392915,7.59287028784482,5.35185813347607,5.55295958492162,5.6,5.01063529409626,39,1360,4178,1842,1352
10.4376390016056,7.59287028784482,5.35185813347607,5.55295958492162,5.8,5.00394630594546,38,1405,4178,1842,1358
11.8332683196616,8.69918135930895,6.35437004079735,6.24610676548156,4.4,5.28826703069454,17,2320,4806,1944,1404
11.8222467125255,8.29229810706322,6.21460809842219,6.18826412308259,4.7,5.23110861685459,25,2470,4806,1920,1403
11.7996070370884,8.69918135930895,6.32076829425058,6.17170059741091,4.9,5.27299955856375,17,2475,5290,1920,1475
12.3325070389263,8.81729778386658,6.23832462503951,6.62273632394984,5.1,5.21493575760899,16,2585,5562,1926,1526
10.0096477483645,7.59839932932396,4.96284463025991,5.46383180502561,8.9,4.88280192258637,62,1395,4324,1765,1421
10.2396025825095,7.59839932932396,5.15329159449778,5.55295958492162,8.1,4.92725368515721,56,1585,4360,1748,1411
